tenant_id,age,city_tier,employer_type,income_monthly,rent_amount,deposit_multiple,lease_term_months,tenure_months_on_platform,avg_days_late,late_payment_rate,failed_txn_rate,payment_method,rent_to_income,default_flag,dpd_next_month
15,36,Tier1,MNC,41453,9428,1,18,0,2,0.2299238001625282,0.02585038446701252,UPI,0.2274383036209683,0,1
16,30,Tier2,Startup,47511,8907,0,11,11,2,0.3874464816950644,0.029760437514558483,UPI,0.1874723748184631,0,4
17,47,Tier3,SME,50037,13109,1,22,14,2,0.1842971137748094,0.33897838042602507,UPI,0.26198613026360495,0,3
18,48,Tier2,MNC,45115,11717,3,16,3,1,0.21472203742207585,0.3602614148072787,UPI,0.2597140640585171,0,3
19,50,Tier2,MNC,51392,16613,2,11,16,2,0.5869823513665409,0.11526076983364099,NetBanking,0.3232604296388543,0,3
20,51,Tier1,SME,30498,13199,2,14,4,1,0.4065476925181608,0.027402811985967338,NetBanking,0.43278247753951077,0,0
21,21,Tier2,Gig,54850,22759,2,19,3,3,0.05332945864867439,0.024835581316229954,UPI,0.41493163172288056,0,2
22,38,Tier3,SME,17819,3571,2,13,9,2,0.15412555129186883,0.12005636844213083,UPI,0.20040406307873618,0,0
23,30,Tier1,SME,67246,16138,2,22,0,1,0.18350664598434022,0.16726130905586217,NetBanking,0.2399845343960979,0,2
24,29,Tier2,MNC,73101,12351,3,17,12,2,0.3789203431947312,0.10403062579050902,Card,0.16895801699019164,0,1
25,29,Tier2,MNC,75039,12506,2,15,2,4,0.043054565444065634,0.18886579629186373,UPI,0.16666000346486493,1,50
26,49,Tier3,Gig,77438,13687,3,19,15,3,0.0572435548515037,0.20887957238130017,UPI,0.17674784989281747,0,2
27,47,Tier1,MNC,50253,24310,1,13,9,1,0.16848717654721973,0.0791566161003909,Card,0.48375221379818123,0,4
28,28,Tier1,MNC,85511,19622,3,11,6,6,0.05273658352642071,0.015783930206789695,UPI,0.22946755388195672,0,1
29,34,Tier2,MNC,47865,12501,2,7,9,7,0.18557060208440432,0.023138779291795853,UPI,0.261172046380445,0,2
30,46,Tier2,MNC,76817,17847,2,6,11,2,0.35012003981295764,0.017046863521990484,UPI,0.23233138497988726,0,5
31,26,Tier1,MNC,68069,13273,1,19,12,3,0.42112757557903063,0.2574563574872385,Card,0.1949933156062231,0,1
32,42,Tier3,MNC,67851,12843,1,12,7,6,0.2396157985637664,0.04621146916420228,UPI,0.18928239819604722,0,0
33,35,Tier2,Startup,67445,26247,2,22,7,0,0.5301257956796883,0.035641781373249345,UPI,0.38916153903180367,0,1
34,52,Tier1,SME,56659,18092,2,7,12,4,0.22547632389357875,0.31732134646631643,UPI,0.3193137895126988,0,2
35,46,Tier2,Startup,59682,18148,2,14,0,2,0.2660053433581682,0.07725790128969014,UPI,0.30407828155892896,0,1
36,28,Tier1,MNC,76104,15075,0,6,10,1,0.2294456925977706,0.26544714929082847,Card,0.19808420056764428,0,1
37,49,Tier2,SME,68949,19558,1,7,4,2,0.06900191898265695,0.29461189574252344,Card,0.2836589363152475,0,2
38,48,Tier2,Startup,100904,35979,1,12,9,7,0.30424204174336905,0.001453185669361883,UPI,0.356566637596131,0,2
39,28,Tier2,MNC,47732,13620,2,23,4,3,0.31218534451505375,0.07333574954568921,Card,0.28534316601022375,0,1
40,38,Tier3,SME,29208,7682,1,20,12,2,0.628840420893417,0.07174701027395085,UPI,0.2630101342098055,0,2
41,48,Tier2,Startup,62157,14632,3,16,6,1,0.15623471996677943,0.09624221903758018,Card,0.23540389658445549,0,3
42,28,Tier2,MNC,58559,12792,1,14,10,2,0.12058139313711841,0.0161378276821783,UPI,0.2184463532505678,0,2
43,29,Tier1,Startup,46062,7423,1,17,5,3,0.31282139851304525,0.11484971452571349,UPI,0.16115235986279364,1,66
44,26,Tier3,Gig,70872,31190,1,17,0,4,0.15406077532490015,0.14698684538122336,Card,0.4400891748504346,0,4
45,21,Tier3,Gig,33238,16557,2,20,0,4,0.19537913034245433,0.0003645696563605843,UPI,0.498134665142307,1,33
46,37,Tier1,Gig,62254,28894,0,13,13,1,0.18007871849700025,0.2774453607017831,NetBanking,0.464130818903203,1,70
47,21,Tier1,Gig,55137,8294,1,21,0,4,0.20589212630591322,0.26790482263702353,UPI,0.15042530424216044,0,2
48,40,Tier1,Startup,72459,26000,1,23,1,0,0.08558142346472056,0.09066473038515306,UPI,0.35882361059357704,0,0
49,35,Tier3,MNC,55117,15739,1,6,15,2,0.27848069020023586,0.019409478266449984,UPI,0.2855561804887784,1,117
50,27,Tier1,SME,56083,9930,0,10,8,2,0.5831469636394938,0.01952257488665265,UPI,0.17705900183656367,0,1
51,33,Tier2,Startup,65032,32132,1,9,13,3,0.24388486303009446,0.08651294102282221,UPI,0.4940952146635503,0,1
52,21,Tier2,Gig,49549,11939,2,7,4,0,0.3164072376729387,0.1416172796131782,UPI,0.2409533996649781,0,1
53,25,Tier2,Startup,84534,40434,2,22,7,2,0.3536212015196802,0.015973080380274268,Card,0.4783164170629569,0,2
54,37,Tier2,MNC,66863,31475,2,16,6,2,0.36072666719168034,0.030388637976183065,UPI,0.47073867460329333,1,115
55,23,Tier3,SME,56322,9402,0,9,7,2,0.2105516844758668,0.18747670256415658,Card,0.16693299243634815,0,2
56,45,Tier2,SME,72319,18746,2,8,0,4,0.3574969016788231,0.10151227119592125,UPI,0.2592126550422434,0,0
57,29,Tier1,SME,71254,18606,2,11,8,3,0.14384708506717717,0.07196816178290912,NetBanking,0.26112218261430936,0,2
58,52,Tier3,Startup,75217,20776,2,21,12,0,0.5434892894499196,0.3495502914211525,NetBanking,0.27621415371525054,0,0
59,26,Tier2,Startup,60915,23075,1,21,8,1,0.11688441124251929,0.17427608858836474,UPI,0.3788065336944923,0,3
60,42,Tier3,Startup,72958,22382,3,22,10,1,0.3146257527225833,0.0599855266798392,UPI,0.3067792428520519,0,3
61,38,Tier1,Gig,23875,11858,1,12,16,1,0.37928320209453953,0.11120210818976274,Card,0.49667015706806283,1,84
62,52,Tier1,Gig,55828,24451,2,7,2,2,0.07928191998953311,0.04322693436826585,UPI,0.4379701941678011,0,2
63,42,Tier1,MNC,46981,17569,1,22,1,1,0.22049670700168522,0.014086802495770538,UPI,0.3739596858304421,0,2
64,50,Tier2,MNC,95113,38832,1,11,11,1,0.2757908561048537,0.0692531568433098,NetBanking,0.408272265620893,0,3
65,36,Tier3,Gig,82191,39505,2,16,9,4,0.2581730494981284,0.05001656317230322,Card,0.48064873282962856,1,76
66,28,Tier1,SME,52027,22681,3,20,10,2,0.05311525449373517,0.1315667473709716,NetBanking,0.43594671997232204,0,1
67,27,Tier2,Startup,61728,20257,2,7,1,4,0.22054812414768216,0.002918970834219158,UPI,0.32816550025920166,0,0
68,50,Tier2,SME,78256,38394,3,15,12,2,0.2485683882275402,0.2818451665064234,Wallet,0.49062052749948887,1,34
69,27,Tier1,MNC,29159,7923,0,11,8,2,0.3343277446937962,0.0482411700430428,UPI,0.2717171370760314,1,46
70,45,Tier1,SME,70436,14639,2,15,2,2,0.18966951810960414,0.09067620772776896,UPI,0.20783406212732125,0,5
71,38,Tier1,Gig,57611,11416,1,16,10,3,0.2550880063862696,0.037882210921898765,UPI,0.19815660203780527,0,4
72,30,Tier1,Gig,50470,17225,2,12,1,2,0.7338446910015043,0.2472270580771212,Card,0.3412918565484446,0,3
73,34,Tier1,MNC,40842,10795,1,15,11,1,0.3165122963235358,0.03771682454379418,Card,0.26431124822486657,1,90
74,48,Tier2,MNC,49353,19859,0,20,2,2,0.44912614933001943,0.25251836299182423,Card,0.40238688630883634,0,1
75,36,Tier1,MNC,48426,7744,1,20,6,3,0.17620155338821283,0.1824748051143976,Card,0.15991409573369678,0,4
76,50,Tier1,Startup,61960,30979,2,14,15,3,0.38140961911126064,0.014258482365400567,Card,0.4999838605551969,0,5
77,53,Tier2,Gig,108953,39806,1,14,9,2,0.017900894116085975,0.0674986497623226,Wallet,0.36535019687388137,0,3
78,31,Tier2,MNC,73644,33101,2,22,3,3,0.334668927833583,0.20209029736815715,Card,0.44947314105697683,1,73
79,38,Tier2,SME,59939,20311,1,12,17,1,0.12893080208557733,0.10133047721074706,UPI,0.3388611755284539,0,1
80,38,Tier1,Gig,61876,26522,2,23,5,2,0.09870543677817854,0.07529492210911069,Card,0.42863145646130973,0,2
81,39,Tier1,MNC,49421,18701,3,16,14,0,0.29705846777788847,0.01245715430212601,UPI,0.3784018939317294,0,0
82,23,Tier1,SME,82075,28169,0,17,8,3,0.1423759674432373,0.1161963644688297,NetBanking,0.3432104782211392,0,1
83,33,Tier1,SME,60259,25375,0,22,7,0,0.17454830003899816,0.07290524348657616,Card,0.42109892298245905,0,2
84,40,Tier2,MNC,65233,16763,1,23,2,5,0.20511924097943132,0.33561982747229796,UPI,0.2569711649012003,1,86
85,52,Tier1,Startup,89816,34047,2,14,6,3,0.145686880130354,0.07519735117266016,Card,0.3790749977732253,0,0
86,29,Tier3,Startup,55601,17668,2,12,8,0,0.16005223224322915,0.18871025010037631,Card,0.3177640689915649,0,3
87,42,Tier2,SME,72133,18414,1,21,10,2,0.20397029598976504,0.08501464527124739,UPI,0.2552784439854158,0,2
88,47,Tier1,MNC,37818,10028,3,21,10,3,0.1540558389972431,0.007389390851770697,Card,0.26516473636892485,0,2
89,52,Tier2,Gig,52252,14546,1,17,6,2,0.13075661165516633,0.07583525360002333,Card,0.278381688739187,1,87
90,26,Tier2,SME,43427,14078,1,12,4,3,0.13176868846269071,0.1833334123759938,UPI,0.3241762037442144,0,3
91,43,Tier2,MNC,52289,13313,1,8,14,1,0.406108503980932,0.0030444921181234414,Card,0.2546042188605634,0,3
92,31,Tier2,SME,74101,11807,2,10,13,2,0.048526785913048404,0.0901316186714902,UPI,0.15933658115275098,0,2
93,35,Tier1,MNC,86657,43183,2,7,11,1,0.22104321043648514,0.10690353324512752,UPI,0.4983209665693481,0,0
94,21,Tier2,SME,48661,17211,2,22,16,0,0.2768807113165243,0.20046991486310417,UPI,0.3536918682312324,0,1
95,45,Tier2,Startup,67148,21260,2,19,5,4,0.48011614674032943,0.21356554784315876,NetBanking,0.31661404658366593,0,1
96,22,Tier1,MNC,37391,14113,1,17,7,1,0.2339185590834874,0.10720216874238682,Card,0.37744376989115025,0,0
97,33,Tier1,Gig,50777,24470,1,6,10,3,0.13516116584111026,0.028135063707793045,Card,0.4819111014829549,1,71
98,37,Tier2,MNC,53216,25987,0,12,7,2,0.44547191017755994,0.02348347507921832,Wallet,0.48833057726999396,0,6
99,43,Tier3,Startup,35950,9186,2,10,11,1,0.14323961066743865,0.004383272960574658,NetBanking,0.2555215577190542,0,0
100,36,Tier1,Gig,54308,22224,2,13,8,3,0.41393669949396644,0.07630225860880281,UPI,0.4092214774987111,0,3
101,49,Tier1,MNC,64987,12493,2,11,16,1,0.06653949593164417,0.09525294577747746,UPI,0.1922384476895379,0,1
102,25,Tier1,SME,72755,12002,1,14,16,2,0.3497108558253096,0.27714225555473043,UPI,0.1649646072434884,0,2
103,29,Tier1,MNC,65882,31960,3,16,0,1,0.4657640015799186,0.1530239590859949,Card,0.4851097416593303,0,2
104,29,Tier2,MNC,72392,24569,3,9,11,4,0.08917037257946205,0.0778263643740485,UPI,0.3393883302022323,0,3
105,33,Tier3,SME,110196,41277,2,10,15,2,0.11022044706893551,0.01179738418407476,UPI,0.37457802461069367,0,2
106,21,Tier2,MNC,72255,31713,1,16,0,2,0.07159956895517401,0.004611469182222493,Wallet,0.4389038820842848,0,1
107,35,Tier2,Gig,70237,16650,3,19,2,1,0.3808095511380459,0.01642550544292005,Card,0.23705454390136252,0,0
108,33,Tier1,MNC,88788,21246,3,12,13,2,0.1618693176223716,0.004753346483168175,NetBanking,0.239289093120692,0,1
109,40,Tier2,Gig,49545,22692,1,22,12,2,0.4381961906496935,0.013786527078658862,Card,0.45800787163184986,1,61
110,40,Tier2,MNC,48549,11034,1,18,6,1,0.0715696408090213,0.061652311339378756,Card,0.22727553605635545,0,1
111,30,Tier1,SME,50025,16989,2,15,17,3,0.21848941097987576,0.037374167613313726,NetBanking,0.33961019490254873,0,2
112,35,Tier1,Startup,51032,21476,2,21,4,1,0.2169843077257035,0.2055565467740529,UPI,0.42083398651826304,0,4
113,38,Tier1,MNC,77989,12505,1,17,6,1,0.1824373752394351,0.05566967941597137,Card,0.16034312531254408,0,1
114,49,Tier1,Gig,48993,7818,0,6,15,1,0.20371040237310392,0.02829847988677839,NetBanking,0.15957381666768722,0,4
115,23,Tier1,MNC,68420,24274,2,21,17,3,0.16433695500734632,0.11388294804685975,UPI,0.3547793042969892,0,1
116,41,Tier1,Startup,51242,18142,3,18,11,1,0.0342015834398025,0.003802633542814917,UPI,0.35404550954295305,0,2
117,23,Tier1,SME,63639,19675,2,8,5,2,0.18349137689761735,0.016156298182867304,Card,0.3091657631326702,0,3
118,30,Tier1,Gig,77054,34490,0,19,6,3,0.3733161093673354,0.09791550929608671,UPI,0.44760817089313987,1,62
119,36,Tier1,SME,70140,22944,2,16,15,3,0.3802843252521785,0.009243396451696476,UPI,0.32711719418306245,0,1
120,48,Tier2,Startup,60526,14967,1,8,0,4,0.4503645910197222,0.28121174524475484,UPI,0.2472821597330073,0,2
121,32,Tier1,Startup,59030,13189,1,9,4,1,0.24535051155413518,0.331580467160448,Wallet,0.2234287650347281,0,1
122,37,Tier1,Gig,40862,8574,2,13,0,0,0.11077111814031834,0.03266593993379684,UPI,0.20982820224169155,0,2
123,40,Tier3,MNC,75622,19683,2,22,14,5,0.2885299609948165,0.08621742741744942,UPI,0.2602813995927111,0,1
124,46,Tier1,SME,63619,24684,2,11,13,3,0.09003974908441435,0.13741141899745382,NetBanking,0.387997296405162,0,2
125,34,Tier3,Gig,101458,49806,1,10,12,0,0.42428477705880185,0.08574324150005092,Wallet,0.4909026395158588,1,89
126,40,Tier1,Gig,72607,12943,1,6,0,2,0.3283848047280636,0.22195181144452403,UPI,0.17826104921013125,0,1
127,49,Tier2,MNC,76756,26653,0,23,10,7,0.020677510304203724,0.06567101105914311,Card,0.34724321225702226,0,3
128,35,Tier1,MNC,58291,27474,3,23,12,2,0.10088659075164332,0.0474005269697826,NetBanking,0.4713249043591635,0,0
129,52,Tier3,SME,55593,18869,2,18,5,3,0.10651453569948963,0.07020680064043464,Card,0.339413235479287,0,4
130,34,Tier2,MNC,49901,21452,2,6,15,1,0.33133202524303995,0.055514204515172375,Card,0.4298911845453999,0,2
131,35,Tier3,Gig,70530,17362,2,22,5,4,0.12891933258916516,0.23602704284286896,Card,0.24616475258755138,0,0
132,21,Tier1,MNC,45232,13112,1,20,12,0,0.15518208713465717,0.2760344717425629,UPI,0.2898832684824903,0,4
133,39,Tier1,Gig,37921,7109,2,22,1,5,0.8313424405121538,0.07652794736825026,UPI,0.18746868489755017,0,1
134,36,Tier1,SME,41874,16310,1,16,17,2,0.2237819935864275,0.010221449010206399,UPI,0.389501838849883,0,2
135,35,Tier2,MNC,81875,12473,2,23,17,3,0.07597784948280699,0.001837956857473699,UPI,0.15234198473282443,0,4
136,42,Tier2,SME,62604,20796,2,16,15,1,0.09718325113487679,0.035313149084152964,UPI,0.3321832470768641,0,2
137,39,Tier3,MNC,48309,10602,1,6,14,4,0.12741458679884415,0.09356059185201086,UPI,0.21946221201018443,0,2
138,53,Tier2,Gig,59137,9834,1,21,3,0,0.4889511422687111,0.029077397143216062,UPI,0.16629183083348834,0,3
139,34,Tier1,Gig,45809,19783,1,9,3,3,0.328195594162796,0.3105587573357987,UPI,0.4318583684428824,0,1
140,35,Tier2,MNC,58171,21660,0,7,15,0,0.18918924569399123,0.08811188483356032,UPI,0.37235048391810355,0,3
141,48,Tier2,SME,43720,8059,3,22,7,2,0.38304276490719436,0.057871402827480864,Card,0.18433211344922232,0,2
142,37,Tier3,Startup,49044,12885,2,13,3,4,0.3401085852928078,0.0537085144621835,Card,0.2627232689013947,0,1
143,29,Tier3,MNC,101261,15870,1,22,7,1,0.07355950332375605,0.08069620807027367,UPI,0.15672371396687768,0,3
144,38,Tier1,MNC,49825,14076,2,6,10,5,0.27487714060128987,0.10169198041521127,UPI,0.28250878073256397,0,1
145,38,Tier2,Startup,82608,13453,2,7,6,4,0.21569388202272427,0.07279900670131269,UPI,0.1628534766608561,0,1
146,34,Tier2,MNC,55736,13295,1,22,4,1,0.2340275152953106,0.09277349593759282,Card,0.23853523754844266,0,5
147,39,Tier1,MNC,98125,20300,2,11,10,0,0.4436596520585853,0.13986226137905045,UPI,0.20687898089171974,1,51
148,40,Tier2,Gig,59110,16869,1,12,16,2,0.17593047056280903,0.26945333389678444,UPI,0.2853831838944341,0,3
149,54,Tier3,SME,50126,17121,2,19,3,3,0.11445502850177261,0.18545257910748827,Wallet,0.34155927063799224,0,3
150,23,Tier2,SME,52840,10417,3,10,6,3,0.456385281041979,0.16668407227445511,UPI,0.1971423164269493,0,2
151,52,Tier3,Gig,39877,12972,1,10,12,1,0.3038906671879864,0.011620653110387924,UPI,0.32530029841763425,0,2
152,37,Tier3,Startup,63325,11279,0,8,16,1,0.36430804705521985,0.04128903920744181,Wallet,0.17811290959336754,0,2
153,33,Tier1,Startup,61489,21244,2,9,1,0,0.283442361373314,0.060223097161355724,UPI,0.3454926897493861,0,0
154,41,Tier1,MNC,46033,11654,2,18,11,2,0.16700245740018554,0.08973086166429207,Card,0.25316620685160646,0,0
155,24,Tier1,MNC,55598,8475,2,9,1,2,0.2491552367264508,0.0032728421302705237,Card,0.15243354077484803,0,2
156,46,Tier1,SME,65376,30472,2,8,15,1,0.11919393132031525,0.0712385157532617,UPI,0.46610376896720507,0,1
157,24,Tier2,SME,18427,4682,2,18,0,4,0.3794480883421297,0.11524691507915816,Card,0.25408368155424105,0,1
158,35,Tier3,Gig,57425,23123,2,15,0,1,0.10960344538291471,0.1405052134008694,UPI,0.402664344797562,0,5
159,27,Tier1,SME,55954,15413,2,9,17,1,0.08071260528643939,0.0036168324576452437,NetBanking,0.2754584122672195,0,3
160,31,Tier3,MNC,61465,20642,2,12,13,2,0.3735359026204925,0.01787599343182574,Card,0.3358334011225901,0,6
161,37,Tier1,MNC,96878,28778,1,20,8,1,0.14463577302230188,0.030949232032518526,UPI,0.29705402671401143,0,3
162,21,Tier1,MNC,47526,8250,2,15,14,5,0.0529645004154955,0.22868702901179747,UPI,0.1735891932836763,0,2
163,51,Tier2,Gig,62189,11876,3,21,15,3,0.14756854885574425,0.10935435756603115,Card,0.19096624805029827,0,2
164,46,Tier3,MNC,54629,14616,0,17,17,2,0.05846964810731627,0.11364549819248033,Card,0.2675502022735177,1,45
165,53,Tier2,SME,82434,12696,1,10,13,2,0.3508020353901955,0.20795910757431063,UPI,0.15401412038721887,1,48
166,23,Tier1,MNC,80306,31230,2,21,14,1,0.4228035920959233,0.06010192326415951,Card,0.38888750529225713,0,0
167,26,Tier1,SME,54178,13228,2,6,12,2,0.16661262576618202,0.0617358067027705,UPI,0.24415814537266048,0,2
168,37,Tier3,MNC,51580,11151,1,13,15,3,0.09130815257789418,0.1946571714271302,UPI,0.21618844513377278,1,68
169,50,Tier2,MNC,51391,16130,2,6,6,2,0.062386304482914635,0.04087089228092962,Card,0.31386818703664066,0,1
170,31,Tier1,SME,58212,27774,1,11,14,0,0.2610068082820408,0.009266529410042872,UPI,0.4771181199752628,1,60
171,31,Tier3,Gig,93314,17923,0,11,17,1,0.3171927666059583,0.18984145816215692,UPI,0.19207192918533125,0,3
172,49,Tier2,SME,67707,20609,2,16,8,4,0.40209827755658933,0.014921896450059006,Wallet,0.30438507096755135,0,0
173,21,Tier1,Startup,42022,12739,2,12,5,2,0.28508754907455025,0.05297981949446299,Card,0.3031507305697016,0,1
174,53,Tier1,Startup,65704,25092,3,7,9,1,0.38763749453053686,0.07851591787747345,UPI,0.38189455740898576,0,2
175,27,Tier2,Gig,82096,18718,3,10,11,2,0.15604646942224937,0.003648252009316399,Card,0.2280013642564802,0,2
176,31,Tier2,SME,85612,23784,1,6,4,3,0.1481132783901782,0.09707212931409762,NetBanking,0.27781152174928747,0,2
177,32,Tier2,Gig,52491,22075,3,8,10,3,0.5775891421470548,0.1317267499817694,UPI,0.4205482844678135,0,3
178,51,Tier1,SME,72228,34339,3,7,2,3,0.016678751440658713,0.20223238014683131,NetBanking,0.4754250429196433,0,4
179,48,Tier1,MNC,32984,8303,3,21,7,5,0.3900982380810891,0.023398829293496615,Card,0.25172811059907835,0,2
180,32,Tier3,SME,38950,17297,3,11,12,3,0.42019473558199966,0.23167871637659265,Card,0.4440821566110398,0,2
181,32,Tier2,Startup,36107,10552,1,10,6,2,0.09509261023335834,0.16061391400284433,UPI,0.2922425014540117,0,1
182,48,Tier3,SME,56246,22593,1,10,5,1,0.10626950242547294,0.385791352816132,UPI,0.4016818973793692,0,3
183,30,Tier2,MNC,58961,25375,2,17,14,1,0.05477462359008209,0.1548687340247081,Wallet,0.4303692271162294,0,0
184,48,Tier1,MNC,81707,33142,0,11,10,2,0.20606289721648482,0.2036016852403916,Card,0.40562008151076406,1,53
185,48,Tier2,MNC,74831,12778,2,16,1,2,0.28727063225713984,0.04039698695324574,NetBanking,0.1707581082706365,0,3
186,43,Tier3,Gig,71452,18984,0,18,17,0,0.4322541634345521,0.16996184092080752,Card,0.26568885405586967,1,103
187,46,Tier3,MNC,52750,10421,2,20,1,3,0.2772975560588201,0.02890114774621711,Card,0.19755450236966823,0,1
188,28,Tier2,Startup,62255,11389,3,17,11,1,0.18553479312484206,0.1205583123331303,NetBanking,0.18294112922656816,0,1
189,40,Tier3,Gig,77940,34754,2,15,5,2,0.2892554613847548,0.026538187438038905,UPI,0.4459071080318193,0,3
190,25,Tier1,MNC,43324,14466,1,18,17,1,0.12420151882641202,0.09015196860991471,UPI,0.333902686732527,0,2
191,22,Tier1,MNC,81351,25062,1,9,2,0,0.183210367737132,0.10138472956796774,UPI,0.30807242689088027,0,1
192,35,Tier2,Gig,97995,37533,1,23,4,6,0.19279352573217176,0.05272793469170166,Card,0.3830093372110822,0,3
193,31,Tier1,Gig,39450,13884,3,13,6,3,0.17194942181154327,0.05857944842848482,Card,0.35193916349809884,0,1
194,26,Tier2,Startup,78174,26805,1,15,0,2,0.4143499242567887,0.2329701692953987,NetBanking,0.3428889400567964,0,4
195,38,Tier1,Gig,15035,3565,1,18,0,2,0.41507750380915454,0.032662778374157014,Card,0.23711340206185566,0,1
196,50,Tier2,SME,41502,10537,2,16,0,2,0.592477527394764,0.007652025959254863,UPI,0.25389137872873596,1,54
197,29,Tier1,Gig,70780,23118,0,10,5,0,0.13885650963931684,0.008728778198563188,UPI,0.32661768861260243,0,1
198,27,Tier1,Startup,72106,15206,2,20,15,3,0.2056508152836648,0.03670447636126396,UPI,0.2108839763681247,0,1
199,50,Tier3,Gig,73120,26414,1,21,1,4,0.19518712031726757,0.1180769675640255,UPI,0.3612417943107221,1,61
200,22,Tier1,SME,74241,25635,1,23,15,2,0.5806546432376999,0.11976163391795701,Card,0.3452943791166606,0,2
201,40,Tier3,SME,63915,16578,2,23,13,1,0.319465912007593,0.2504087255643881,UPI,0.25937573339591646,0,0
202,40,Tier1,SME,52550,11156,0,17,17,3,0.1124373595189368,0.04300369609993758,Card,0.2122930542340628,0,2
203,36,Tier1,MNC,83730,41667,2,17,14,2,0.6143177960547964,0.2183219507353914,Wallet,0.4976352561805804,1,110
204,35,Tier1,SME,57966,25138,1,16,10,0,0.15201829667707276,0.3271515379516506,UPI,0.4336680122830625,0,2
205,21,Tier2,MNC,47549,13405,2,11,6,4,0.00674487397213472,0.07352204425198221,UPI,0.28191970388441395,0,3
206,50,Tier3,Startup,92057,29285,1,15,5,0,0.10154503106986267,0.03204655163216547,UPI,0.31811812246760157,0,0
207,23,Tier1,MNC,53908,9419,0,20,17,0,0.15852106285578083,0.09003331608904064,UPI,0.17472360317578095,0,5
208,26,Tier1,Startup,38768,6184,2,12,3,1,0.4325753081075195,0.3715905227778639,UPI,0.15951300041271152,1,109
209,50,Tier1,MNC,69479,19475,3,15,11,1,0.13415827159965227,0.11983698597203399,Card,0.2803005224600239,0,3
210,33,Tier2,MNC,43604,9413,2,9,6,2,0.38708790187610126,0.060499987739607665,Card,0.21587469039537657,0,1
211,36,Tier1,MNC,69869,15933,2,21,7,2,0.5824836990560122,0.0667939104845697,NetBanking,0.22804104824743449,0,6
212,42,Tier1,SME,81389,35205,2,20,12,0,0.3140272937589891,0.37625104459085806,UPI,0.4325523105087911,0,2
213,40,Tier2,MNC,99698,26789,2,18,15,2,0.14204037325389698,0.05739611201583285,Card,0.26870147846496417,0,0
214,52,Tier2,Startup,41227,12057,1,22,15,1,0.3649590083668125,0.026810233111258346,UPI,0.2924539743372062,0,2
215,52,Tier1,MNC,82673,26703,2,11,16,5,0.28215759203031265,0.15529542508976724,UPI,0.3229954156737992,0,2
216,29,Tier1,SME,104321,16379,2,7,11,2,0.15334762088336257,0.03359593051081267,Card,0.15700578023600234,1,111
217,46,Tier1,Startup,61706,25230,1,6,8,2,0.09273120794494472,0.08417760932796496,UPI,0.40887433961041064,0,2
218,44,Tier3,Gig,66876,30397,2,12,15,3,0.3153809904110704,0.053686800745586766,NetBanking,0.4545277827621269,1,63
219,29,Tier1,Gig,51296,22766,1,15,11,1,0.4767673619215107,0.09784375546229925,UPI,0.4438162819713038,0,1
220,26,Tier2,MNC,61491,22879,1,15,17,0,0.21904145439254277,0.040577692665027414,UPI,0.37207070953472865,0,3
221,48,Tier3,Gig,51555,23592,2,21,8,1,0.17410668461632012,0.24038403970979108,UPI,0.4576083794006401,0,1
222,46,Tier2,Gig,45476,10662,2,18,13,1,0.2953940427023457,0.129146691114697,UPI,0.23445333802445245,0,2
223,33,Tier2,MNC,74000,14842,2,10,12,1,0.2515741081144188,0.16310680304550582,UPI,0.20056756756756758,0,1
